"Table 1.1--2004, Individual Income Tax Returns, Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",,,,,,,,,, ,,,,,,,,,,
(All figures are estimates based on samples--money amounts are in thousands of dollars except as indicated),,,,,,,,,, ,,,,,,,,,,
"$5,000 under $10,000*.","12,135,418    ",9.2         ,"90,875,410    ",1.3         ,"7,488      ","3,883,897    ",4.4         ,"29,879,127    ",0.5         ,"3,883,753     ","7,519,618   ",0.2         ,"3,883,897   ","713,105   ",0.1         ,"713,105   ",0.1         ,9.5          ,2.4          ,184        
"$10,000 under $15,000*.","11,656,193    ",8.8         ,"145,142,373    ",2.1         ,"12,452      ","5,672,790    ",6.4         ,"70,632,130    ",1.1         ,"5,672,642     ","25,956,920   ",0.6         ,"5,672,790   ","2,491,501   ",0.3         ,"2,491,501   ",0.3         ,9.6          ,3.5          ,439        
"$15,000 under $20,000*.","11,281,290    ",8.5         ,"197,081,477    ",2.9         ,"17,470      ","6,143,869    ",6.9         ,"107,820,414    ",1.7         ,"6,143,669     ","49,150,506   ",1.1         ,"6,143,869   ","5,218,298   ",0.6         ,"5,218,298   ",0.6         ,10.6          ,4.8          ,849        
"$20,000 under $25,000*.","9,705,192    ",7.3         ,"217,844,558    ",3.2         ,"22,446      ","5,932,734    ",6.7         ,"133,257,468    ",2.1         ,"5,932,700     ","70,186,016   ",1.5         ,"5,932,734     ","7,894,860    ",0.9         ,"7,894,860    ",0.9         ,11.2          ,5.9          ,"1,331        "
"$25,000 under $30,000*.","8,512,113    ",6.4         ,"233,540,422    ",3.4         ,"27,436      ","5,850,586    ",6.6         ,"160,970,887    ",2.6         ,"5,850,577     ","93,847,694   ",2.1         ,"5,850,586     ","10,675,322    ",1.3         ,"10,675,322    ",1.3         ,11.4          ,6.6          ,"1,825        "
"$30,000 under $40,000*.","13,915,452    ",10.5         ,"482,760,301    ",7.1         ,"34,692      ","11,283,839    ",12.7         ,"392,430,395    ",6.3         ,"11,283,822     ","243,141,006   ",5.3         ,"11,283,839     ","28,213,041    ",3.4         ,"28,213,041    ",3.4         ,11.6          ,7.2          ,"2,500        "
"$40,000 under $50,000*.","10,571,409    ",8.0         ,"473,380,843    ",7.0         ,"44,779      ","9,467,339    ",10.6         ,"424,493,453    ",6.8         ,"9,467,311     ","274,229,656   ",6.0         ,"9,467,339     ","33,915,521    ",4.1         ,"33,915,521    ",4.1         ,12.4          ,8.0          ,"3,582        "
"$50,000 under $75,000*.","18,047,126    ",13.6         ,"1,109,616,155    ",16.3         ,"61,484      ","17,350,625    ",19.5         ,"1,068,699,069    ",17.1         ,"17,349,074     ","716,600,109   ",15.7         ,"17,350,625     ","92,955,349    ",11.2         ,"92,955,349    ",11.2         ,13.0          ,8.7          ,"5,357        "
"$75,000 under $100,000*.","10,119,515    ",7.7         ,"872,398,173    ",12.9         ,"86,209      ","10,021,150    ",11.2         ,"864,079,043    ",13.8         ,"10,017,941     ","608,245,670   ",13.3         ,"10,021,150     ","85,557,202    ",10.3         ,"85,557,202    ",10.3         ,14.1          ,9.9          ,"8,538        "
"$100,000 under $200,000*.","9,735,569    ",7.4         ,"1,288,319,611    ",19.0         ,"132,331      ","9,718,430    ",10.9         ,"1,286,114,931    ",20.5         ,"9,714,664     ","962,402,713   ",21.1         ,"9,718,430     ","175,205,533    ",21.1         ,"175,205,533    ",21.1         ,18.2          ,13.6          ,"18,028        "
"$200,000 under $500,000*.","2,348,163    ",1.8         ,"676,794,600    ",10.0         ,"288,223      ","2,345,868    ",2.6         ,"676,146,760    ",10.8         ,"2,344,191     ","565,494,806   ",12.4         ,"2,345,868     ","139,227,163    ",16.7         ,"139,227,163    ",16.7         ,24.6          ,20.6          ,"59,350        "
"$500,000 under $1,000,000*.","433,145    ",0.3         ,"293,369,864    ",4.3         ,"677,302      ","432,783    ",0.5         ,"293,123,022    ",4.7         ,"432,358     ","260,061,711   ",5.7         ,"432,783     ","71,339,293    ",8.6         ,"71,339,306    ",8.6         ,27.4          ,24.3          ,"164,839        "
"$1,000,000 under $1,500,000*.","103,964    ",0.1         ,"125,552,750    ",1.8         ,"1,207,656      ","103,887    ",0.1         ,"125,461,491    ",2.0         ,"103,814     ","112,671,268   ",2.5         ,"103,887     ","31,072,424    ",3.7         ,"31,072,424    ",3.7         ,27.6          ,24.8          ,"299,098        "
"$1,500,000 under $2,000,000*.","45,104    ",[2]         ,"77,754,758    ",1.1         ,"1,723,899      ","45,065    ",0.1         ,"77,688,451    ",1.2         ,"45,050     ","69,935,884   ",1.5         ,"45,065     ","19,435,618    ",2.3         ,"19,435,625    ",2.3         ,27.8          ,25.0          ,"431,280        "
"$2,000,000 under $5,000,000*.","65,548    ",[2]         ,"194,470,800    ",2.9         ,"2,966,846      ","65,501    ",0.1         ,"194,336,617    ",3.1         ,"65,417     ","176,056,872   ",3.9         ,"65,501     ","47,962,099    ",5.8         ,"47,962,105    ",5.8         ,27.2          ,24.7          ,"732,235        "
"$5,000,000 under $10,000,000*.","15,835    ",[2]         ,"108,191,995    ",1.6         ,"6,832,459      ","15,827    ",[2]         ,"108,135,631    ",1.7         ,"15,810     ","97,901,784   ",2.1         ,"15,827     ","25,756,207    ",3.1         ,"25,756,272    ",3.1         ,26.3          ,23.8          ,"1,627,363        "
"$10,000,000 or more*.","9,677    ",[2]         ,"256,932,933    ",3.8         ,"26,550,887      ","9,672    ",[2]         ,"256,725,173    ",4.1         ,"9,656     ","227,893,131   ",5.0         ,"9,672     ","54,202,160    ",6.5         ,"54,202,568    ",6.5         ,23.8          ,21.1          ,"5,604,070        "
"Table 1.1--2004, Individual Income Tax Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income -- Continued",,,,,,,,,, ,,,,,,,,,,
(All figures are estimates based on samples--money amounts are in thousands of dollars except as indicated),,,,,,,,,, ,,,,,,,,,,
,All returns,,,,,Taxable returns,,,, ,,,,,,,,,,
Size and accumulated size,,,Adjusted gross,,,,,Adjusted gross,, ,,,,,,,,,,
of adjusted gross income,Number,Percent,income less deficit,,,Number,Percent,income less deficit,, ,,,,,,,,,,
,of returns,of total,Amount,Percent,Average,of returns,of total,Amount,Percent, ,,,,,,,,,,
,,,,of total,(dollars),,,,of total, ,,,,,,,,,,
,(21),(22),(23),(24),(25),(26),(27),(28),(29), ,,,,,,,,,,
Accumulated from Smallest Size,,,,,,,,,, ,,,,,,,,,,
of Adjusted Gross Income,,,,,,,,,, ,,,,,,,,,,
No adjusted gross income*.,"1,854,886    ",1.4         ,"-86,318,215   ",[1]          ,"-46,536        ","4,556     ",0.0          ,"-6,536,163   ",[1]          ,           ,,,,,,,,,,
"$1 under $5,000*.","11,670,444    ",8.8         ,"31,096,322   ",0.5          ,"2,665        ","753,517     ",0.8          ,"2,042,476   ",[2]          ,           ,,,,,,,,,,
"$1 under $10,000*.","23,805,861    ",18.0         ,"121,971,733   ",1.8          ,"5,124        ","4,637,414     ",5.2          ,"31,921,604   ",0.5          ,           ,,,,,,,,,,
"$1 under $15,000*.","35,462,054    ",26.8         ,"267,114,105   ",3.9          ,"7,532        ","10,310,204     ",11.6          ,"102,553,733   ",1.6          ,           ,,,,,,,,,,
"$1 under $20,000*.","46,743,345    ",35.4         ,"464,195,583   ",6.8          ,"9,931        ","16,454,074     ",18.5          ,"210,374,148   ",3.4          ,           ,,,,,,,,,,
"$1 under $25,000*.","56,448,536    ",42.7         ,"682,040,141   ",10.0          ,"12,083        ","22,386,808     ",25.1          ,"343,631,615   ",5.5          ,           ,,,,,,,,,,
"$1 under $30,000*.","64,960,650    ",49.1         ,"915,580,563   ",13.5          ,"14,094        ","28,237,394     ",31.7          ,"504,602,503   ",8.1          ,           ,,,,,,,,,,
"$1 under $40,000*.","78,876,102    ",59.7         ,"1,398,340,864   ",20.6          ,"17,728        ","39,521,233     ",44.4          ,"897,032,897   ",14.3          ,           ,,,,,,,,,,
"$1 under $50,000*.","89,447,510    ",67.6         ,"1,871,721,707   ",27.6          ,"20,925        ","48,988,572     ",55.0          ,"1,321,526,350   ",21.1          ,           ,,,,,,,,,,
"$1 under $75,000*.","107,494,636    ",81.3         ,"2,981,337,861   ",43.9          ,"27,735        ","66,339,196     ",74.5          ,"2,390,225,419   ",38.1          ,           ,,,,,,,,,,
"$1 under $100,000*.","117,614,151    ",88.9         ,"3,853,736,035   ",56.8          ,"32,766        ","76,360,346     ",85.7          ,"3,254,304,463   ",51.9          ,           ,,,,,,,,,,
"$1 under $200,000*.","127,349,721    ",96.3         ,"5,142,055,646   ",75.7          ,"40,377        ","86,078,777     ",96.6          ,"4,540,419,394   ",72.5          ,           ,,,,,,,,,,
"$1 under $500,000*.","129,697,883    ",98.1         ,"5,818,850,246   ",85.7          ,"44,865        ","88,424,645     ",99.2          ,"5,216,566,154   ",83.3          ,           ,,,,,,,,,,
"$1 under $1,000,000*.","130,131,029    ",98.4         ,"6,112,220,110   ",90.0          ,"46,970        ","88,857,428     ",99.7          ,"5,509,689,175   ",87.9          ,           ,,,,,,,,,,
"$1 under $1,500,000*.","130,234,992    ",98.5         ,"6,237,772,859   ",91.9          ,"47,896        ","88,961,314     ",99.8          ,"5,635,150,666   ",89.9          ,           ,,,,,,,,,,
"$1 under $2,000,000*.","130,280,096    ",98.5         ,"6,315,527,617   ",93.0          ,"48,477        ","89,006,379     ",99.9          ,"5,712,839,118   ",91.2          ,           ,,,,,,,,,,
"$1 under $5,000,000*.","130,345,644    ",98.6         ,"6,509,998,417   ",95.9          ,"49,944        ","89,071,880     ",100.0          ,"5,907,175,734   ",94.3          ,           ,,,,,,,,,,
"$1 under $10,000,000*.","130,361,479    ",98.6         ,"6,618,190,412   ",97.5          ,"50,768        ","89,087,707     ",100.0          ,"6,015,311,365   ",96.0          ,           ,,,,,,,,,,
$1 or more*.,"130,371,156    ",98.6         ,"6,875,123,345   ",100.0          ,"52,735        ","89,097,379     ",100.0          ,"6,272,036,538   ",100.0          ,           ,,,,,,,,,,
All returns*.,"132,226,042    ",100.0         ,"6,788,805,130   ",[3] 98.7          ,"51,342        ","89,101,934     ",100.0          ,"6,265,500,376   ",[3] 99.9          ,           ,,,,,,,,,,
,Taxable returns--continued,,,,,,,,,,,,,,,,,,,
,Taxable income,,,Income tax after credits,,,Total income tax,,,,,,,,,,,,,
Size and accumulated size,Number of,Amount,Percentage of,Number of,Amount,Percentage of,Amount,Percentage of,,,Average,,,,,,,,,
of adjusted gross income,returns,,total,returns,,total,,Total,Taxable,Adjusted gross,income tax,,,,,,,,,
,,,,,,,,,income,income less deficit,(dollars),,,,,,,,,
,(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),,,,,,,,,
Accumulated from Smallest Size,,,,,,,,,,,,,,,,,,,,
of Adjusted Gross Income,,,,,,,,,,,,,,,,,,,,
No adjusted gross income*.,--     ,--   ,--         ,"4,556     ","86,064    ",[2]         ,"86,064    ",[2]         ,[1]          ,[1]          ,"18,890        ",,,,,,,,,
"$1 under $5,000*.","753,472     ","634,863   ",[2]         ,"753,517     ","55,075    ",[2]         ,"55,075    ",[2]         ,8.7          ,2.7          ,73        ,,,,,,,,,
"$1 under $10,000*.","4,637,225     ","8,154,480   ",0.2         ,"4,637,414     ","768,180    ",0.1         ,"768,180    ",0.1         ,9.4          ,2.4          ,166        ,,,,,,,,,
"$1 under $15,000*.","10,309,866     ","34,111,401   ",0.7         ,"10,310,204     ","3,259,681    ",0.4         ,"3,259,681    ",0.4         ,9.6          ,3.2          ,316        ,,,,,,,,,
"$1 under $20,000*.","16,453,535     ","83,261,907   ",1.8         ,"16,454,074     ","8,477,980    ",1.0         ,"8,477,980    ",1.0         ,10.2          ,4.0          ,515        ,,,,,,,,,
"$1 under $25,000*.","22,386,234     ","153,447,923   ",3.4         ,"22,386,808     ","16,372,840    ",2.0         ,"16,372,840    ",2.0         ,10.7          ,4.8          ,731        ,,,,,,,,,
"$1 under $30,000*.","28,236,811     ","247,295,618   ",5.4         ,"28,237,394     ","27,048,161    ",3.3         ,"27,048,161    ",3.3         ,10.9          ,5.4          ,958        ,,,,,,,,,
"$1 under $40,000*.","39,520,633     ","490,436,623   ",10.8         ,"39,521,233     ","55,261,202    ",6.6         ,"55,261,202    ",6.6         ,11.3          ,6.2          ,"1,398        ",,,,,,,,,
"$1 under $50,000*.","48,987,945     ","764,666,279   ",16.8         ,"48,988,572     ","89,176,723    ",10.7         ,"89,176,723    ",10.7         ,11.7          ,6.7          ,"1,820        ",,,,,,,,,
"$1 under $75,000*.","66,337,019     ","1,481,266,389   ",32.5         ,"66,339,196     ","182,132,072    ",21.9         ,"182,132,072    ",21.9         ,12.3          ,7.6          ,"2,745        ",,,,,,,,,
"$1 under $100,000*.","76,354,960     ","2,089,512,058   ",45.8         ,"76,360,346     ","267,689,274    ",32.2         ,"267,689,274    ",32.2         ,12.8          ,8.2          ,"3,506        ",,,,,,,,,
"$1 under $200,000*.","86,069,623     ","3,051,914,771   ",66.9         ,"86,078,777     ","442,894,807    ",53.2         ,"442,894,807    ",53.2         ,14.5          ,9.8          ,"5,145        ",,,,,,,,,
"$1 under $500,000*.","88,413,815     ","3,617,409,577   ",79.3         ,"88,424,645     ","582,121,970    ",70.0         ,"582,121,970    ",70.0         ,16.1          ,11.2          ,"6,583        ",,,,,,,,,
"$1 under $1,000,000*.","88,846,173     ","3,877,471,288   ",85.0         ,"88,857,428     ","653,461,262    ",78.5         ,"653,461,276    ",78.5         ,16.9          ,11.9          ,"7,354        ",,,,,,,,,
"$1 under $1,500,000*.","88,949,986     ","3,990,142,555   ",87.5         ,"88,961,314     ","684,533,686    ",82.3         ,"684,533,700    ",82.3         ,17.2          ,12.1          ,"7,695        ",,,,,,,,,
"$1 under $2,000,000*.","88,995,036     ","4,060,078,439   ",89.0         ,"89,006,379     ","703,969,304    ",84.6         ,"703,969,325    ",84.6         ,17.3          ,12.3          ,"7,909        ",,,,,,,,,
"$1 under $5,000,000*.","89,060,453     ","4,236,135,311   ",92.9         ,"89,071,880     ","751,931,403    ",90.4         ,"751,931,429    ",90.4         ,17.8          ,12.7          ,"8,442        ",,,,,,,,,
"$1 under $10,000,000*.","89,076,262     ","4,334,037,094   ",95.0         ,"89,087,707     ","777,687,610    ",93.5         ,"777,687,701    ",93.5         ,17.9          ,12.9          ,"8,729        ",,,,,,,,,
$1 or more*.,"89,085,918     ","4,561,930,225   ",100.0         ,"89,097,379     ","831,889,769    ",100.0         ,"831,890,269    ",100.0         ,18.2          ,13.3          ,"9,337        ",,,,,,,,,
All returns*.,"89,085,918     ","4,561,930,225   ",100.0         ,"89,101,934     ","831,975,834    ",100.0         ,"831,976,333    ",100.0         ,18.2          ,13.3          ,"9,337        ",,,,,,,,,
Footnotes at end of table.,,,,,,,,,,,,,,,,,,,,
"Table 1.1--2004, Individual Income Tax Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income -- Continued",,,,,,,,,, ,,,,,,,,,,
(All figures are estimates based on samples--money amounts are in thousands of dollars except as indicated),,,,,,,,,, ,,,,,,,,,,
,All returns,,,,,Taxable returns,,,, ,,,,,,,,,,
Size and accumulated size,,,Adjusted gross,,,,,Adjusted gross,, ,,,,,,,,,,
of adjusted gross income,Number,Percent,income less deficit,,,Number,Percent,income less deficit,, ,,,,,,,,,,
,of returns,of total,Amount,Percent,Average,of returns,of total,Amount,Percent, ,,,,,,,,,,
,,,,of total,(dollars),,,,of total, ,,,,,,,,,,
,(41),(42),(43),(44),(45),(46),(47),(48),(49), ,,,,,,,,,,
Accumulated from Largest Size,,,,,,,,,, ,,,,,,,,,,
of Adjusted Gross Income,,,,,,,,,, ,,,,,,,,,,
"$10,000,000 or more*.","9,677    ",[2]         ,"256,932,933    ",3.8         ,"26,550,887       ","9,672     ",[2]         ,"256,725,173   ",4.1          ,          ,,,,,,,,,,
"$5,000,000 or more*.","25,512    ",[2]         ,"365,124,928    ",5.4         ,"14,311,890       ","25,499     ",[2]         ,"364,860,804   ",5.8          ,          ,,,,,,,,,,
"$2,000,000 or more*.","91,060    ",0.1         ,"559,595,728    ",8.2         ,"6,145,352       ","91,000     ",0.1         ,"559,197,421   ",8.9          ,          ,,,,,,,,,,
"$1,500,000 or more*.","136,163    ",0.1         ,"637,350,486    ",9.4         ,"4,680,791       ","136,064     ",0.2         ,"636,885,872   ",10.2          ,          ,,,,,,,,,,
"$1,000,000 or more*.","240,127    ",0.2         ,"762,903,235   ",11.2         ,"3,177,082       ","239,951     ",0.3         ,"762,347,363   ",12.2          ,           ,,,,,,,,,,
"$500,000 or more*.","673,272    ",0.5         ,"1,056,273,099   ",15.6         ,"1,568,865       ","672,734     ",0.8         ,"1,055,470,385   ",16.8          ,           ,,,,,,,,,,
"$200,000 or more*.","3,021,435    ",2.3         ,"1,733,067,699   ",25.5         ,"573,591       ","3,018,602     ",3.4         ,"1,731,617,145   ",27.6          ,           ,,,,,,,,,,
"$100,000 or more*.","12,757,004    ",9.6         ,"3,021,387,310   ",44.5         ,"236,841       ","12,737,032     ",14.3         ,"3,017,732,076   ",48.2          ,           ,,,,,,,,,,
"$75,000 or more*.","22,876,519    ",17.3         ,"3,893,785,483   ",57.4         ,"170,209       ","22,758,182     ",25.5         ,"3,881,811,119   ",62.0          ,           ,,,,,,,,,,
"$50,000 or more*.","40,923,646    ",30.9         ,"5,003,401,638   ",73.7         ,"122,262       ","40,108,807     ",45.0         ,"4,950,510,188   ",79.0          ,           ,,,,,,,,,,
"$40,000 or more*.","51,495,054    ",38.9         ,"5,476,782,481   ",80.7         ,"106,356       ","49,576,146     ",55.6         ,"5,375,003,641   ",85.8          ,           ,,,,,,,,,,
"$30,000 or more*.","65,410,506    ",49.5         ,"5,959,542,782   ",87.8         ,"91,110       ","60,859,985     ",68.3         ,"5,767,434,036   ",92.1          ,           ,,,,,,,,,,
"$25,000 or more*.","73,922,619    ",55.9         ,"6,193,083,203   ",91.2         ,"83,778       ","66,710,571     ",74.9         ,"5,928,404,923   ",94.6          ,           ,,,,,,,,,,
"$20,000 or more*.","83,627,811    ",63.2         ,"6,410,927,761   ",94.4         ,"76,660       ","72,643,305     ",81.5         ,"6,061,662,391   ",96.7          ,           ,,,,,,,,,,
"$15,000 or more*.","94,909,102    ",71.8         ,"6,608,009,239   ",97.3         ,"69,625       ","78,787,175     ",88.4         ,"6,169,482,805   ",98.5          ,           ,,,,,,,,,,
"$10,000 or more*.","106,565,295    ",80.6         ,"6,753,151,612   ",99.5         ,"63,371       ","84,459,964     ",94.8         ,"6,240,114,935   ",99.6          ,           ,,,,,,,,,,
"$5,000 or more*.","118,700,712    ",89.8         ,"6,844,027,022   ",100.0         ,"57,658       ","88,343,862     ",99.1         ,"6,269,994,062   ",100.0          ,           ,,,,,,,,,,
$1 or more*.,"130,371,156    ",98.6         ,"6,875,123,345   ",100.0         ,"52,735       ","89,097,379     ",100.0         ,"6,272,036,538   ",100.0          ,           ,,,,,,,,,,
All returns*.,"132,226,042    ",100.0         ,"6,788,805,130   ",[3] 98.7         ,"51,342       ","89,101,934     ",100.0         ,"6,265,500,376   ",[3] 99.1          ,           ,,,,,,,,,,
,Taxable returns--continued,,,,,,,,,,,,,,,,,,,
,Taxable income,,,Income tax after credits,,,Total income tax,,,,,,,,,,,,,
Size and accumulated size,Number of,Amount,Percentage of,Number of,Amount,Percentage of,Amount,Percentage of,,,Average,,,,,,,,,
of adjusted gross income,returns,,total,returns,,total,,Total,Taxable,Adjusted gross,income tax,,,,,,,,,
,,,,,,,,,income,income less deficit,(dollars),,,,,,,,,
,(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),,,,,,,,,
Accumulated from Largest Size,,,,,,,,,,,,,,,,,,,,
of Adjusted Gross Income,,,,,,,,,,,,,,,,,,,,
"$10,000,000 or more*.","9,656     ","227,893,131   ",5.0         ,"9,672     ","54,202,160    ",6.5         ,"54,202,568    ",6.5         ,23.8          ,21.1          ,"5,604,070      ",,,,,,,,,
"$5,000,000 or more*.","25,466     ","325,794,914   ",7.1         ,"25,499     ","79,958,367    ",9.6         ,"79,958,840    ",9.6         ,24.5          ,21.9          ,"3,135,764      ",,,,,,,,,
"$2,000,000 or more*.","90,882     ","501,851,786   ",11.0         ,"91,000     ","127,920,466    ",15.4         ,"127,920,944    ",15.4         ,25.5          ,22.9          ,"1,405,725      ",,,,,,,,,
"$1,500,000 or more*.","135,932     ","571,787,670   ",12.5         ,"136,064     ","147,356,083    ",17.7         ,"147,356,569    ",17.7         ,25.8          ,23.1          ,"1,082,995      ",,,,,,,,,
"$1,000,000 or more*.","239,746     ","684,458,938   ",15.0         ,"239,951     ","178,428,507    ",21.4         ,"178,428,993    ",21.4         ,26.1          ,23.4          ,"743,606      ",,,,,,,,,
"$500,000 or more*.","672,104     ","944,520,648   ",20.7         ,"672,734     ","249,767,800    ",30.0         ,"249,768,299    ",30.0         ,26.4          ,23.7          ,"371,273      ",,,,,,,,,
"$200,000 or more*.","3,016,295     ","1,510,015,454   ",33.1         ,"3,018,602     ","388,994,963    ",46.8         ,"388,995,462    ",46.8         ,25.8          ,22.5          ,"128,866      ",,,,,,,,,
"$100,000 or more*.","12,730,958     ","2,472,418,167   ",54.2         ,"12,737,032     ","564,200,495    ",67.8         ,"564,200,995    ",67.8         ,22.8          ,18.7          ,"44,296      ",,,,,,,,,
"$75,000 or more*.","22,748,899     ","3,080,663,837   ",67.5         ,"22,758,182     ","649,757,697    ",78.1         ,"649,758,197    ",78.1         ,21.1          ,16.7          ,"28,551      ",,,,,,,,,
"$50,000 or more*.","40,097,974     ","3,797,263,946   ",83.2         ,"40,108,807     ","742,713,047    ",89.3         ,"742,713,546    ",89.3         ,19.6          ,15.0          ,"18,517      ",,,,,,,,,
"$40,000 or more*.","49,565,285     ","4,071,493,602   ",89.2         ,"49,576,146     ","776,628,567    ",93.3         ,"776,629,067    ",93.3         ,19.1          ,14.4          ,"15,665      ",,,,,,,,,
"$30,000 or more*.","60,849,107     ","4,314,634,608   ",94.6         ,"60,859,985     ","804,841,608    ",96.7         ,"804,842,108    ",96.7         ,18.7          ,14.0          ,"13,224      ",,,,,,,,,
"$25,000 or more*.","66,699,684     ","4,408,482,302   ",96.6         ,"66,710,571     ","815,516,930    ",98.0         ,"815,517,429    ",98.0         ,18.5          ,13.8          ,"12,225      ",,,,,,,,,
"$20,000 or more*.","72,632,384     ","4,478,668,318   ",98.2         ,"72,643,305     ","823,411,790    ",99.0         ,"823,412,289    ",99.0         ,18.4          ,13.6          ,"11,335      ",,,,,,,,,
"$15,000 or more*.","78,776,052     ","4,527,818,824   ",99.3         ,"78,787,175     ","828,630,088    ",99.6         ,"828,630,588    ",99.6         ,18.3          ,13.4          ,"10,517      ",,,,,,,,,
"$10,000 or more*.","84,448,693     ","4,553,775,745   ",99.8         ,"84,459,964     ","831,121,590    ",99.9         ,"831,122,089    ",99.9         ,18.3          ,13.3          ,"9,840      ",,,,,,,,,
"$5,000 or more*.","88,332,446     ","4,561,295,363   ",100.0         ,"88,343,862     ","831,834,694    ",100.0         ,"831,835,194    ",100.0         ,18.2          ,13.3          ,"9,416      ",,,,,,,,,
$1 or more*.,"89,085,918     ","4,561,930,225   ",100.0         ,"89,097,379     ","831,889,769    ",100.0         ,"831,890,269    ",100.0         ,18.2          ,13.3          ,"9,337      ",,,,,,,,,
All returns*.,"89,085,918     ","4,561,930,225   ",100.0         ,"89,101,934     ","831,975,834    ",100.0         ,"831,976,333    ",100.0         ,18.2          ,13.3          ,"9,337      ",,,,,,,,,
[1] Percentage not computed.,,,,,,,,,,,,,,,,,,,,
[2] Less than 0.05 percent.,,,,,,,,,,,,,,,,,,,,
[3] Percentage less than 100 because of inclusion of negative AGI.,,,,,,,,,,,,,,,,,,,,
NOTE: Detail may not add to totals because of rounding.,,,,,,,,,,,,,,,,,,,,
"Source: IRS, Statistics of Income, Individual Complete Report 2004, Publication 1304, September 2006.",,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
